sep=;
CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;Vbat;Trigger;AccX;AccY;AccZ;GyX;GyY;GyZ;N;fs;Timestamp
208.709219282837;5022.02761292671;-321.180523331074;730.455085885004;398.087870432743;2300.6206074617;135.659412893606;-169.199349940439;3104;0;11745;-11941;-603;173;141;147;148346;500;15:17:13.753238
-11.1339033602231;5091.73405741081;-272.368101109451;682.043078950346;260.332927510167;1985.66843774334;-207.938646288622;-211.934487107549;3104;0;11745;-11941;-603;173;141;147;148347;500;15:17:13.754209
259.839376934713;5827.71532732081;-125.39691782925;1001.00054537964;501.327654009154;1918.99592036744;-39.941572877993;-214.888001821754;3104;0;11745;-11941;-603;173;141;147;148348;500;15:17:13.754455
-136.423715821688;6017.01968421721;30.2945006453821;1425.01560721302;697.913329060785;2219.49447771989;199.034416210984;-667.497036718252;3104;0;11745;-11941;-603;173;141;147;148349;500;15:17:13.754603
-38.0156219748313;6306.99982933088;77.087146380017;1233.45037486648;755.058758021076;2491.7211994602;332.051165351517;-845.32628946826;3104;0;11745;-11941;-603;173;141;147;148350;500;15:17:13.754799
27.0993788282952;6165.39711211418;-63.0016978866227;845.627585681175;599.481448459505;2049.40548233938;205.716939817678;-435.509395481551;3104;0;11745;-11941;-603;173;141;147;148351;500;15:17:13.755013
-550.399132198979;5831.78376089932;-549.228276210054;174.747919101606;114.733572168255;1085.15415957577;113.50663411313;13.8617919757872;3104;0;11745;-11941;-603;173;141;147;148352;500;15:17:13.756336
-971.51380113337;5494.30292238588;-727.932187257056;-100.559468723833;-437.493966871911;204.43159731115;-263.262204906291;302.593501556227;3104;0;11745;-11941;-603;173;141;147;148353;500;15:17:13.756674
-452.639640548704;5253.0294598995;-985.376673733296;-471.858363018961;-1016.5941325203;-554.277562092959;-161.503983098757;511.313078530285;3104;0;11827;-11897;-582;241;241;8;148354;500;15:17:13.756950
-162.069893809789;5236.22816750953;-976.165621837055;-818.144910424542;-1041.50573652467;-518.997528211381;464.34440446713;362.00454245483;3104;0;11827;-11897;-582;241;241;8;148355;500;15:17:13.757157
26.3566800280383;4945.0945834966;-936.737119333331;-942.779859728121;-899.408476881159;-424.423508386955;746.257825112409;578.322015226898;3104;0;11827;-11897;-582;241;241;8;148356;500;15:17:13.757495
253.174316611804;4999.63417974117;-792.686595324464;-819.93781200804;-843.853150826772;-725.809300243653;360.786551842515;585.81374043325;3104;0;11827;-11897;-582;241;241;8;148357;500;15:17:13.759255
177.218553883272;5301.6310115685;-663.143934301511;-981.116544395489;-936.821917310906;-1249.83299042261;137.816792735617;694.110922843182;3104;0;11827;-11897;-582;241;241;8;148358;500;15:17:13.759392
-276.246320042088;5314.06209699271;-788.601570033542;-1429.07100723679;-1253.39596821727;-1758.54342765781;129.251119629839;418.138859128374;3104;0;11827;-11897;-582;241;241;8;148359;500;15:17:13.759513
-474.988083106015;5494.65259675869;-736.899888277881;-1447.50645235593;-1089.64545030149;-1363.74582701253;358.452682124502;150.347751380189;3104;0;11827;-11897;-582;241;241;8;148360;500;15:17:13.759626
21.3918664786089;5340.97048136707;-642.078241803296;-1407.80794918797;-1110.29780704355;-1556.37385493349;496.02160931304;78.7661808661035;3104;0;11827;-11897;-582;241;241;8;148361;500;15:17:13.760674
589.604023661034;6193.67928697546;-435.684021867449;-1029.13260217514;-806.723443376164;-1635.12629510265;401.840829653942;84.5356229910286;3104;0;11827;-11897;-582;241;241;8;148362;500;15:17:13.760808
299.077156449982;6318.04107627329;-306.178108682764;-806.175220454208;-617.289777282812;-1598.7484015271;13.7957587636458;67.9865566278988;3104;0;11827;-11897;-582;241;241;8;148363;500;15:17:13.760934
273.238034439043;6292.88758297098;-436.933874176188;-1254.98279339738;-775.239939261752;-1795.11336158657;-48.9254059716859;200.033891303267;3104;0;11890;-11722;-625;-116;349;-92;148364;500;15:17:13.761079
381.668334970637;6411.43667712375;-483.826232042792;-1419.17016725881;-830.118842908353;-1959.46859324272;7.6193622513082;525.191230995285;3104;0;11890;-11722;-625;-116;349;-92;148365;500;15:17:13.762045
548.967838993234;6212.51605386209;-705.82416987706;-1624.99263875047;-1020.92637394515;-1969.43273887189;223.352320138834;860.012703094434;3104;0;11890;-11722;-625;-116;349;-92;148366;500;15:17:13.762235
378.599293738506;5623.04272817632;-1001.40680889916;-2076.33082868398;-1329.17461557858;-2337.41400990364;147.8023819879;726.765805818484;3104;0;11890;-11722;-625;-116;349;-92;148367;500;15:17:13.762376
763.751386550599;5673.6113350787;-999.287901833456;-2045.81461628404;-1048.35962741116;-2523.4251676755;222.721244696086;730.116524216544;3104;0;11890;-11722;-625;-116;349;-92;148368;500;15:17:13.763248
668.693928344794;5749.50823213743;-923.499865030116;-1881.20405488331;-759.568981556762;-2169.44940732745;293.934698915153;603.604190386864;3104;0;11890;-11722;-625;-116;349;-92;148369;500;15:17:13.763363
123.77978826632;5594.3886847347;-903.370329822651;-1767.09929401503;-618.89918026308;-1550.26730293182;463.176111353313;523.879829790981;3104;0;11890;-11722;-625;-116;349;-92;148370;500;15:17:13.763470
-210.513650643101;5347.51635171821;-648.464602169527;-1547.65287111007;-430.774604467592;-1076.72792440213;663.57844468177;539.154780705462;3104;0;11890;-11722;-625;-116;349;-92;148371;500;15:17:13.763579
-211.868462280598;5287.88462218567;-507.252865887212;-1310.8693158245;-563.238757109817;-1237.15428736439;390.871443711168;306.057748605869;3104;0;11890;-11722;-625;-116;349;-92;148372;500;15:17:13.764344
-45.8372306430317;5492.5812169858;-350.184624725143;-1045.86257134926;-798.902703497774;-1086.15544790243;168.288994914155;49.4974364584532;3104;0;11890;-11722;-625;-116;349;-92;148373;500;15:17:13.764470
-164.532361408476;5467.21105043722;-291.298603654985;-938.960333971058;-673.070372070259;-427.054337556764;148.490744683444;19.0551707997094;3104;0;11846;-11701;-642;-154;268;-3;148374;500;15:17:13.764606
79.051129437897;5673.04975723831;-347.503730318971;-1068.41265808902;-618.848113337066;97.6095090934164;358.316854466343;303.246963096592;3104;0;11846;-11701;-642;-154;268;-3;148375;500;15:17:13.765364
318.396842996969;5931.98359680274;-325.013405543112;-1030.56785123812;-345.344226818195;157.01964591173;363.541033907259;434.131567694749;3104;0;11846;-11701;-642;-154;268;-3;148376;500;15:17:13.765485
416.700523107529;5848.29754934661;-407.194317037347;-1160.58608118002;-47.4091556697573;23.1775875103175;165.000242171308;442.851426150652;3104;0;11846;-11701;-642;-154;268;-3;148377;500;15:17:13.765611
484.201075347644;5890.64259127847;-339.256160897424;-999.63458782936;240.965000666463;408.263530622361;426.530123455667;281.707027314371;3104;0;11846;-11701;-642;-154;268;-3;148378;500;15:17:13.765741
241.441639729362;5720.83320303409;-20.7587607350559;-534.656739120188;381.43201966488;1058.04170818708;381.336610016582;-403.174843607228;3104;0;11846;-11701;-642;-154;268;-3;148379;500;15:17:13.766558
862.704420556258;6279.69219526334;154.21715168754;-318.194409679186;650.966225975302;1883.38992001247;404.301789637849;-574.610951986709;3104;0;11846;-11701;-642;-154;268;-3;148380;500;15:17:13.766673
285.765383497051;5709.07694310287;-151.086634413295;-726.757161155008;318.45432064872;1432.84175247831;426.013075277753;-521.239201444111;3104;0;11846;-11701;-642;-154;268;-3;148381;500;15:17:13.766785
-213.501798440072;5206.13440580308;-625.866335460115;-1333.91261819604;-178.75855731533;689.956952846934;163.147719735323;-477.855121019388;3104;0;11846;-11701;-642;-154;268;-3;148382;500;15:17:13.767592
