sep=;
CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;Vbat;Trigger;AccX;AccY;AccZ;GyX;GyY;GyZ;N;fs;Timestamp
167.167769703486;417.986097750522;148.358549785187;130.213569063676;266.593240074117;-338.520174969053;586.230573665625;57.6153197550392;3259;0;-187;-7191;-14927;-35;53;87;315475;500;10:43:44.447928
184.359126734553;481.700857278615;284.340013488316;200.094150118895;164.324248129013;-435.014747795884;455.747980155236;160.626200314133;3259;0;-185;-7194;-14914;36;215;-18;315476;500;10:43:44.447973
528.613328617484;600.07650479587;278.220524059933;30.1529963534136;-154.184101690659;-952.029094971873;674.532761136324;554.519829612327;3259;0;-185;-7194;-14914;36;215;-18;315477;500;10:43:44.448005
738.079060949319;537.851024068771;128.459159507291;-151.891595282001;-440.345869713276;-979.412092793383;668.395926425343;626.907498354684;3259;0;-185;-7194;-14914;36;215;-18;315478;500;10:43:44.448038
395.829583978358;370.204380309953;92.2547146808051;-9.66961564253153;-238.300273557953;-333.215538798088;147.845505209035;221.575056663773;3259;0;-185;-7194;-14914;36;215;-18;315479;500;10:43:44.448072
51.8721509968871;289.835561631881;72.6826424678671;94.7434141760133;244.108605512951;1159.95515986601;264.422039288841;104.680156634426;3259;0;-185;-7194;-14914;36;215;-18;315480;500;10:43:44.448929
121.206960571306;541.399148651806;289.379635234899;328.536255289393;525.811038243636;934.315573343814;272.448239300666;165.874482856375;3259;0;-185;-7194;-14914;36;215;-18;315481;500;10:43:44.449018
310.067236489528;770.501435525129;619.775819210232;764.142018872623;925.741096924474;561.83355904525;298.016408261212;320.736683325979;3259;0;-185;-7194;-14914;36;215;-18;315482;500;10:43:44.449119
336.258690239833;665.814032943684;542.968744425905;684.664264442302;823.994597473096;430.810581748781;200.609474093701;258.860726023416;3259;0;-185;-7194;-14914;36;215;-18;315483;500;10:43:44.449248
279.964822391195;475.795285966016;297.961265723721;457.539554254082;643.860109217321;753.030211897964;542.753945594616;359.883741824542;3259;0;-185;-7194;-14914;36;215;-18;315484;500;10:43:44.449313
